Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Price Range,Price Change %,Turnover per Trade,Anomaly,Year
2011-11-08,RELIANCE,EQ,879.95,879.0,885.0,868.5,884.0,883.7,878.49,2313308,203222812185000.0,70086.0,880382.0,0.3806,16.5,0.5346985210466491,2899620640.1421113,0,2011
2011-11-09,RELIANCE,EQ,883.7,890.05,892.65,861.15,864.25,864.95,877.66,2666312,234012757965000.0,58923.0,1341489.0,0.5031,31.5,-2.8200662884107537,3971501077.0836515,0,2011
2011-11-11,RELIANCE,EQ,864.95,859.0,888.8,850.1,887.8,885.35,868.89,4969253,431772012945000.0,112330.0,2188629.0,0.4404,38.69999999999993,3.067520372526196,3843781829.8317456,0,2011
2011-11-14,RELIANCE,EQ,885.35,891.4,896.0,873.0,873.6,876.7,887.05,3656473,324349237135000.0,86923.0,1599468.0,0.4374,23.0,-1.6490913170293844,3731454702.840445,0,2011
2011-11-15,RELIANCE,EQ,876.7,871.0,878.0,856.25,857.9,861.45,868.12,2262503,196411303980000.0,63435.0,734879.0,0.3248,21.75,-1.0964408725602703,3096260802.08087,0,2011
2011-11-16,RELIANCE,EQ,861.45,859.1,859.1,837.35,853.95,848.1,846.91,3043186,257731079225000.0,80467.0,1167846.0,0.3838,21.75,-1.2804097311139564,3202941320.354928,0,2011
2011-11-17,RELIANCE,EQ,848.1,845.05,848.65,806.25,807.0,809.95,825.29,5538055,457051618075000.0,144793.0,2496531.0,0.4508,42.39999999999998,-4.153600378675808,3156586423.8948016,0,2011
2011-11-18,RELIANCE,EQ,809.95,800.3,811.95,787.0,809.95,808.1,796.95,4958044,395129900450000.0,123229.0,2213676.0,0.4465,24.950000000000045,0.9746345120579869,3206468448.579474,0,2011
2011-11-21,RELIANCE,EQ,808.1,800.0,800.0,781.5,788.55,786.35,787.84,4049501,319035767800000.0,99527.0,1872769.0,0.4625,18.5,-1.706249999999997,3205519786.5905733,0,2011
2011-11-22,RELIANCE,EQ,786.35,788.1,804.45,786.6,795.0,795.2,795.93,4382352,348805854070000.0,91512.0,2067545.0,0.4718,17.850000000000023,0.9009009009009038,3811585956.7051315,0,2011
2011-11-23,RELIANCE,EQ,795.2,789.9,789.9,755.8,775.0,773.4,771.24,5419769,417992238760000.0,135597.0,2440926.0,0.4504,34.10000000000002,-2.088872009115078,3082606833.1895247,0,2011
2011-11-24,RELIANCE,EQ,773.4,775.0,778.0,753.15,775.15,773.15,765.19,6367715,487248962720000.0,144727.0,2970823.0,0.4664999999999999,24.850000000000023,-0.23870967741935778,3366676312.7819963,0,2011
2011-11-25,RELIANCE,EQ,773.15,769.7,771.25,751.0,751.7,753.8,761.33,3699725,281671258855000.0,106949.0,1426502.0,0.3856,20.25,-2.0657398986618283,2633696985.0582986,0,2011
2011-11-28,RELIANCE,EQ,753.8,765.0,785.8,762.55,784.25,783.8,775.38,2522069,195555802605000.0,68490.0,862242.0,0.3419,23.25,2.457516339869275,2855246059.3517303,0,2011
2011-11-29,RELIANCE,EQ,783.8,782.0,782.0,759.15,761.1,765.0,766.74,4803440,368297707135000.0,112512.0,1900259.0,0.3956,22.850000000000023,-2.1739130434782608,3273408233.2106795,0,2011
2011-11-30,RELIANCE,EQ,765.0,756.7,783.3,753.1,783.25,778.25,768.64,4569146,351201641340000.0,106020.0,1758653.0,0.3849,30.199999999999932,2.847892163340816,3312598013.016412,0,2011
2011-12-01,RELIANCE,EQ,778.25,799.0,810.75,795.2,798.75,799.0,802.46,4714967,378355279915000.0,111809.0,2150970.0,0.4562,15.549999999999955,0.0,3383942973.4189553,0,2011
2011-12-02,RELIANCE,EQ,799.0,797.0,815.0,786.55,813.25,812.05,801.17,4479880,358913021010000.0,97387.0,1908629.0,0.426,28.450000000000045,1.8883312421580871,3685430509.3082237,0,2011
2011-12-05,RELIANCE,EQ,812.05,808.35,812.2,798.35,808.35,806.75,805.48,3160834,254598962445000.0,78190.0,1298648.0,0.4109,13.850000000000023,-0.19793406321519424,3256157596.1759815,0,2011
2011-12-07,RELIANCE,EQ,806.75,807.0,819.5,803.2,804.1,809.8,812.64,3514150,285572693160000.0,94146.0,1494520.0,0.4253,16.299999999999955,0.3469640644361777,3033296084.3795805,0,2011
2011-12-08,RELIANCE,EQ,809.8,802.0,807.7,772.1,777.05,778.85,784.38,4442697,348476062560000.0,109467.0,1881423.0,0.4235,35.60000000000002,-2.8865336658354086,3183389172.627367,0,2011
2011-12-09,RELIANCE,EQ,778.85,769.9,769.9,752.7,753.4,755.7,760.14,5044876,383483507285000.0,114842.0,2270158.0,0.45,17.199999999999932,-1.8443953760228515,3339227001.31485,0,2011
2011-12-12,RELIANCE,EQ,755.7,760.55,762.0,724.0,726.8,727.5,740.66,5097034,377517244350000.0,115531.0,2029684.0,0.3982,38.0,-4.345539412267432,3267670533.0171123,0,2011
2011-12-13,RELIANCE,EQ,727.5,723.9,746.0,721.0,743.65,742.3,734.72,5228468,384145176000000.0,132811.0,1895012.0,0.3624,25.0,2.5417875397154273,2892419874.859763,0,2011
